name,image
"Aceclofenac","fb79f4327827.webp"
"Alpha Lipoic Acid","39068bfa57ae.webp"
"Caustic Soda Flakes","765bbdfc5dc3.webp"
"Chondroitin Sulphate","aa063dbf4e95.webp"
"Citric Acid Anhydrous","39068bfa57ae.webp"
"Clotrimazole","fb79f4327827.webp"
"Coenzyme Q10","f19f1033ec2a.webp"
"Copper Sulphate","fecd9f8ce2f7.webp"
"Croscarmellose Sodium","3782f17c2908.webp"
"Dexamethasone Sodium Phosphate","39068bfa57ae.webp"
"Ferric Pyrophosphate (Liposomal)","39068bfa57ae.webp"
"FRK Rice Fortification Micronutrient Premix","39068bfa57ae.webp"
"Glucosamine Sulphate","3782f17c2908.webp"
"Griseofulvin","39068bfa57ae.webp"
"Guar Gum","da7ec2de3d71.webp"
"Lactose Monohydrate","aa063dbf4e95.webp"
"Luliconazole","ebc1e445bcae.webp"
"Magnesium Sulphate","100fe19f41c7.webp"
"Maltodextrin","93cd9574e969.webp"
"Methyl Paraben Sodium","78377999105d.webp"
"Methylcobalamin","aa063dbf4e95.webp"
"Omeprazole","fb79f4327827.webp"
"Oyster Shell Calcium Carbonate","aa063dbf4e95.webp"
"Paracetamol","0c8f025d552b.webp"
"Phosphoric Acid","005fa4b457a2.webp"
"Potassium Chloride","2d5b00e809bd.webp"
"Potassium Permanganate","311dc9762791.webp"
"Propylene Glycol","a6efd39ceb53.webp"
"Refined Glycerine","775a2fa4b5af.webp"
"Sodium Acid Pyrophosphate","f47c9c39532a.webp"
"Sodium Benzoate","e0d7a13a0370.webp"
"Sodium Citrate","51e961068b0b.webp"
"Sodium Lauryl Ether Sulphate (SLES)","daddad2fafeb.webp"
"Sodium Stearyl Fumarate","aa063dbf4e95.webp"
"Sulfamethoxazole","309210a6ff1a.webp"
"TCCA 90 Granules & Tablets","0f7f0da78d0e.webp"
"Vitamin E Acetate 50%","fb79f4327827.webp"
"Xanthan Gum","0eee12067e27.webp"
